x [m],y [m]
0,0.0068823627
1e-06,0.0059344396
2e-06,0.0064651508
3e-06,0.0065576108
4e-06,0.0070746207
5e-06,0.0067422347
6e-06,0.0075398254
7e-06,0.0078698706
8e-06,0.0075448798
9e-06,0.0069765043
1e-05,0.0063039357
1.1e-05,0.0055767816
1.2e-05,0.0056911504
1.3e-05,0.0064452867
1.4e-05,0.0065555183
1.5e-05,0.0059452267
1.6e-05,0.0069560383
1.7e-05,0.0065615951
1.8e-05,0.0057347481
1.9e-05,0.005606678
2e-05,0.0056379598
2.1e-05,0.0052003966
2.2e-05,0.0050220119
2.3e-05,0.0051180358
2.4e-05,0.0047848854
2.5e-05,0.0046410215
2.6e-05,0.0051642037
2.7e-05,0.0049351317
2.8e-05,0.0046101219
2.9e-05,0.0046433719
3e-05,0.0044316607
3.1e-05,0.0046911546
3.2e-05,0.0049643115
3.3e-05,0.0050447996
3.4e-05,0.0046351932
3.5e-05,0.0044050893
3.6e-05,0.0042054074
3.7e-05,0.0039247692
3.8e-05,0.0042401002
3.9e-05,0.0042399187
4e-05,0.0036582718
4.1e-05,0.0038232991
4.2e-05,0.0038578295
4.3e-05,0.003660756
4.4e-05,0.0046044655
4.5e-05,0.0044746087
4.6e-05,0.0039003858
4.7e-05,0.003981237
4.8e-05,0.0039148706
4.9e-05,0.0031566735
5e-05,0.0037133351
5.1e-05,0.0032289829
5.2e-05,0.0041708292
5.3e-05,0.004207003
5.4e-05,0.0044003311
5.5e-05,0.0041416399
5.6e-05,0.003433595
5.7e-05,0.0038564823
5.8e-05,0.0041996077
5.9e-05,0.0038187129
6e-05,0.0043772663
6.1e-05,0.0047336917
6.2e-05,0.0048806895
6.3e-05,0.0058710542
6.4e-05,0.0057762342
6.5e-05,0.0058873162
6.6e-05,0.006938926
6.7e-05,0.0062148676
6.8e-05,0.0065467281
6.9e-05,0.0070767609
7e-05,0.0064271903
7.1e-05,0.0058809719
7.2e-05,0.0069876928
7.3e-05,0.0069235813
7.4e-05,0.0070486512
7.5e-05,0.0066355478
7.6e-05,0.0076889157
7.7e-05,0.0068123751
7.8e-05,0.0066096548
7.9e-05,0.0070571357
8e-05,0.0077483454
8.1e-05,0.0057801516
8.2e-05,0.0062186799
8.3e-05,0.0065080892
8.4e-05,0.0067028505
8.5e-05,0.0058259469
8.6e-05,0.0059044954
8.7e-05,0.0055086094
8.8e-05,0.0057869067
8.9e-05,0.0060764976
9e-05,0.0057230914
9.1e-05,0.0058223066
9.2e-05,0.0056441416
9.3e-05,0.0057662592
9.4e-05,0.0049386574
9.5e-05,0.0053677552
9.6e-05,0.0053606657
9.7e-05,0.0064894004
9.8e-05,0.0065906316
9.9e-05,0.0067996675
0.0001,0.0065963357
0.000101,0.0065600472
0.000102,0.006074902
0.000103,0.0061136269
0.000104,0.0056105667
0.000105,0.0060148894
0.000106,0.0069142082
0.000107,0.0068609317
0.000108,0.0068963411
0.000109,0.0073411945
0.00011,0.0071980568
0.000111,0.0064391336
0.000112,0.0064359996
0.000113,0.0066169545
0.000114,0.0074688251
0.000115,0.00777592
0.000116,0.0073911843
0.000117,0.0071582427
0.000118,0.0073188176
0.000119,0.0071106989
0.00012,0.0067498401
0.000121,0.0064472168
0.000122,0.0061101967
0.000123,0.0069355819
0.000124,0.007562919
0.000125,0.0074131981
0.000126,0.0066788111
0.000127,0.0068557149
0.000128,0.0072267111
0.000129,0.0069646757
0.00013,0.0072409092
0.000131,0.00642548
0.000132,0.0064387705
0.000133,0.0061903313
0.000134,0.0054046265
0.000135,0.0054272996
0.000136,0.0061390899
0.000137,0.0068010338
0.000138,0.0066008741
0.000139,0.0057391814
0.00014,0.0054660818
0.000141,0.0057102787
0.000142,0.0052328536
0.000143,0.005566004
0.000144,0.0052567497
0.000145,0.0049239528
0.000146,0.0049549098
0.000147,0.0054802991
0.000148,0.0057544975
0.000149,0.0060453878
