x;y
[m];[m]
0;0.019121263
1.00E-06;0.020175023
2.00E-06;0.018332578
3.00E-06;0.018544184
4.00E-06;0.017056788
5.00E-06;0.018191848
6.00E-06;0.017558988
7.00E-06;0.017820192
8.00E-06;0.01719081
9.00E-06;0.019188987
1.00E-05;0.015451622
1.10E-05;0.016314031
1.20E-05;0.0185063
1.30E-05;0.019646232
1.40E-05;0.020343079
1.50E-05;0.018538881
1.60E-05;0.019234811
1.70E-05;0.020745367
1.80E-05;0.018534008
1.90E-05;0.018457428
2.00E-05;0.019439862
2.10E-05;0.019748008
2.20E-05;0.021013431
2.30E-05;0.021701297
2.40E-05;0.022119636
2.50E-05;0.022721606
2.60E-05;0.020995965
2.70E-05;0.020078607
2.80E-05;0.021644342
2.90E-05;0.023129473
3.00E-05;0.022261312
3.10E-05;0.022476683
3.20E-05;0.023152853
3.30E-05;0.021317555
3.40E-05;0.020357793
3.50E-05;0.022459647
3.60E-05;0.022346338
3.70E-05;0.021183303
3.80E-05;0.021558685
3.90E-05;0.021991996
4.00E-05;0.022238734
4.10E-05;0.0213065
4.20E-05;0.020752275
4.30E-05;0.021600992
4.40E-05;0.02036644
4.50E-05;0.022540737
4.60E-05;0.021758347
4.70E-05;0.020806832
4.80E-05;0.021309643
4.90E-05;0.019896621
5.00E-05;0.022057846
5.10E-05;0.023058721
5.20E-05;0.020202875
5.30E-05;0.020526432
5.40E-05;0.022529835
5.50E-05;0.022431671
5.60E-05;0.022233661
5.70E-05;0.021669747
5.80E-05;0.022241209
5.90E-05;0.021000743
6.00E-05;0.019637834
6.10E-05;0.021760803
6.20E-05;0.021248895
6.30E-05;0.021632379
6.40E-05;0.021448424
6.50E-05;0.02176709
6.60E-05;0.021341718
6.70E-05;0.018236334
6.80E-05;0.021138845
6.90E-05;0.019910675
7.00E-05;0.021792696
7.10E-05;0.018673123
7.20E-05;0.020827193
7.30E-05;0.020671682
7.40E-05;0.021413932
7.50E-05;0.019254159
7.60E-05;0.019798103
7.70E-05;0.020311836
7.80E-05;0.01872296
7.90E-05;0.018990403
8.00E-05;0.020988599
8.10E-05;0.020324744
8.20E-05;0.020173217
8.30E-05;0.019866915
8.40E-05;0.020065193
8.50E-05;0.018520297
8.60E-05;0.020036777
8.70E-05;0.019240266
8.80E-05;0.018862763
8.90E-05;0.019439776
9.00E-05;0.01876501
9.10E-05;0.01889545
9.20E-05;0.017086312
9.30E-05;0.01987839
9.40E-05;0.01818944
9.50E-05;0.0176748
9.60E-05;0.018162496
9.70E-05;0.015926945
9.80E-05;0.017674417
9.90E-05;0.018871305
0.0001;0.018450176
0.000101;0.021331008
0.000102;0.020620039
0.000103;0.018682735
0.000104;0.017766705
0.000105;0.018987508
0.000106;0.019700063
0.000107;0.020092567
0.000108;0.020880985
0.000109;0.019996562
0.00011;0.019312384
0.000111;0.018777737
0.000112;0.019540807
0.000113;0.019333347
0.000114;0.020424848
0.000115;0.020398964
0.000116;0.020934415
0.000117;0.018950752
0.000118;0.020647365
0.000119;0.01886305
0.00012;0.021149661
0.000121;0.020768365
0.000122;0.021131316
0.000123;0.020005152
0.000124;0.019230377
0.000125;0.020391655
0.000126;0.021045449
0.000127;0.019863562
0.000128;0.018050831
0.000129;0.019014806
0.00013;0.020400254
0.000131;0.01851851
0.000132;0.018633051
0.000133;0.016812419
0.000134;0.016622072
0.000135;0.018059478
0.000136;0.018131214
0.000137;0.017790974
0.000138;0.018412588
0.000139;0.017035739
0.00014;0.017707094
0.000141;0.019442671
0.000142;0.017306593
0.000143;0.015975148
0.000144;0.018063147
0.000145;0.018430952
0.000146;0.019370285
0.000147;0.017664968
0.000148;0.017723939
0.000149;0.018387182
0.00015;0.017447027
0.000151;0.01912757
0.000152;0.018637446
0.000153;0.018522676
0.000154;0.017321307
0.000155;0.016993144
0.000156;0.018870187
0.000157;0.018576679
0.000158;0.018493009
0.000159;0.018407973
